Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_R0_HipsWaist_Yaw,5.0364E-07,-0.0073562,0.0064621,0,0,0,0.38744,0.000602,-8.4057E-09,3.9044E-09,0.00059139,0.00014423,0.00055466,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/base_link_R0_HipsWaist_Yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/base_link_R0_HipsWaist_Yaw.STL,,CLOVIS25_URDF_R0_V1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LinkR0_AxisRz_Waist_Yaw,0.0079226,-1.4681E-08,0.032811,0,0,0,0.074377,5.2774E-05,-6.4357E-11,8.6681E-06,0.00010984,-1.8069E-11,6.8619E-05,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/LinkR0_AxisRz_Waist_Yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/LinkR0_AxisRz_Waist_Yaw.STL,,CLOVIS25_URDF_R1_V1-1,R0_Origin_HipsToWaist_Yaw,R0_AxisRz_HipsToWaist_Yaw,R0_AxisRz_Waist_Yaw,revolute,0,0,0,1.5708,-1.5708,0,base_link_R0_HipsWaist_Yaw,0,0,1,0,0,0,0,,,,,,,,
Link1_AxisRx_Waist_Roll,-0.00041904,-2.8944E-05,0.0033473,0,0,0,0.02857,7.0873E-06,-2.4583E-09,-4.7741E-08,2.3252E-05,-1.5933E-09,2.6216E-05,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link1_AxisRx_Waist_Roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link1_AxisRx_Waist_Roll.STL,,CLOVIS25_URDF_R2_V1-1,R1_Origin_Waist_Roll,R1_AxisRx_Waist_Roll,R1_AxisRx_Waist_Roll,revolute,0,2.0274E-05,0.083,0,0,0,LinkR0_AxisRz_Waist_Yaw,-1,0.00014768,0,0,0,0,0,,,,,,,,
Link2_AxisRy_Abs_Pitch,0.01165,0.00042448,0.099006,0,0,0,1.7658,0.0027283,-2.2026E-07,8.1879E-05,0.0028642,4.1069E-07,0.0026221,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link2_AxisRy_Abs_Pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link2_AxisRy_Abs_Pitch.STL,,CLOVIS25_URDF_R3_V1-1,R2_Origin_Waist_Pitch,R2_AxisRy_Waist_Pitch,R2_AxisRy_Abs_Pitch,revolute,0,0,0,0,0,0,Link1_AxisRx_Waist_Roll,0,-1,0,0,0,0,0,,,,,,,,
Link10_AxisRy_Hips_Flexion,-0.00091392,-0.035492,0.018195,0,0,0,0.15462,0.00018303,-5.9541E-06,-5.3223E-06,0.00012928,-4.7324E-06,7.5248E-05,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link10_AxisRy_Hips_Flexion.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link10_AxisRy_Hips_Flexion.STL,,CLOVIS25_URDF_R10_V1-1,R10_Origin_Hips_Flexion,R10_AxisRy_Hips_Flexion,R10_AxisRy_Hips_Flexion,revolute,-0.058997,-0.036813,0,2.0944,-1.5708,0,base_link_R0_HipsWaist_Yaw,0,1,0,0,0,0,0,,,,,,,,
Link11_AxisRx_Hips_Abduction,0.00042158,-0.010961,-0.047292,0,0,0,0.16881,0.00011623,-4.4236E-06,-8.4034E-07,0.00014479,-6.5255E-06,0.00019636,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link11_AxisRx_Hips_Abduction.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link11_AxisRx_Hips_Abduction.STL,,CLOVIS25_URDF_R11_V1-1,R11_Origin_Hips_Abduction,R11_AxisRx_Hips_Abduction,R11_AxisRx_Hips_Abduction,revolute,0,-0.0395,0,-0.5236,0,0,Link10_AxisRy_Hips_Flexion,-1,0,0,0,0,0,0,,,,,,,,
Link12_AxisRz_Hips_Rotation,0.029987,-0.00091501,-0.039584,0,0,0,0.30889,0.00025835,1.2018E-05,2.2232E-05,0.00044678,2.5395E-05,0.00029937,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link12_AxisRz_Hips_Rotation.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link12_AxisRz_Hips_Rotation.STL,,CLOVIS25_URDF_R12_V1-1,R12_Origin_Hips_Rotation,R12_AxisRz_Hips_Rotation,R12_AxisRz_Hips_Rotation,revolute,-0.0005,0,-0.0815,0,0,0,Link11_AxisRx_Hips_Abduction,0,0,-1,0,0,0,0,,,,,,,,
Link13_AxisRy_Knee_Flexion,0.0099617,3.9516E-07,-0.073709,0,0,0,0.2081,0.00025127,8.5828E-11,-5.3734E-06,0.00024051,-1.0504E-09,7.3627E-05,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link13_AxisRy_Knee_Flexion.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link13_AxisRy_Knee_Flexion.STL,,CLOVIS25_URDF_R13_V1-1,R13_Origin_Knee_Flexion,R13_AxisRy_Knee_Flexion,R13_AxisRy_Knee_Flexion,revolute,0,0,-0.036,0,0,0,Link12_AxisRz_Hips_Rotation,0,-1,0,0,0,0,0,,,,,,,,
Link14_AxisRy_Ankle_Flexion,-4.88789163386799E-05,4.22903943489428E-07,-0.000941696330492403,0,0,0,0.0198828974198513,5.33136120736912E-06,5.67534226927354E-11,-6.76121691905726E-09,3.84427574199253E-06,-4.02962768732565E-12,8.2973341598147E-06,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link14_AxisRy_Ankle_Flexion.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link14_AxisRy_Ankle_Flexion.STL,,CLOVIS25_URDF_R14_V1-1,R14_Origin_Ankle_Flexion,R14_AxisRy_Ankle_Flexion,R14_AxisRy_Ankle_Flexion,revolute,0,0,-0.14,0,0,0,Link13_AxisRy_Knee_Flexion,0,1,0,0,0,0,0,,,,,,,,
Link15_AxisRx_Ankle_Abduction,-0.0074953,-1.0019E-07,-0.041396,0,0,0,0.16207,8.3758E-05,9.3594E-11,5.7698E-06,0.00011175,5.4765E-10,0.00012701,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link15_AxisRx_Ankle_Abduction.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,file:///home/gmingant/CLOVIS-2-MINI-ROS2-Sim/src/CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link15_AxisRx_Ankle_Abduction.STL,,CLOVIS25_URDF_R15_V1-1,R15_Origin_Ankle_Abduction,R15_AxisRx_Ankle_Abduction,R15_AxisRx_Ankle_Abduction,revolute,0,0,0,0,0,0,Link14_AxisRy_Ankle_Flexion,1,0,0,0,0,0,0,,,,,,,,
