Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_R0_HipsWaist_Yaw,"-5,06849795022235E-07","0,00646210878121357","-0,0073561947767718",0,0,0,"0,387437520077023","0,000602004181055371","-3,93523733518146E-09","8,41311460772213E-09","0,000554663199182993","0,000144231027666502","0,000591393422247619",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/base_link_R0_HipsWaist_Yaw.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/base_link_R0_HipsWaist_Yaw.STL,,CLOVIS25_URDF_R0_V1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LinkR0_AxisRz_Waist_Yaw,"1,4681236456414E-08","0,00792255367963898","0,0328105533698632",0,0,0,"0,0743770113903965","0,000109844902331301","6,43572844053016E-11","1,80691197728788E-11","5,27744826789087E-05","8,6681121560006E-06","6,86185978836166E-05",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/LinkR0_AxisRz_Waist_Yaw.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/LinkR0_AxisRz_Waist_Yaw.STL,,CLOVIS25_URDF_R1_V1-1,R0_Origin_HipsToWaist_Yaw,R0_AxisRz_HipsToWaist_Yaw,R0_AxisRz_Waist_Yaw,revolute,0,0,0,0,0,0,base_link_R0_HipsWaist_Yaw,0,0,1,"3,66","5,05","-0,611","0,611",,,,,,,,
Link1_AxisRx_Abs_Roll,"-0,000419037666760606","-8,67044488973194E-06","0,00334728947605621",0,0,0,"0,0285702910432507","7,08725803682833E-06","-2,45830099310385E-09","-4,77409616773028E-08","2,32521875946385E-05","-1,5933209297635E-09","2,62164733137173E-05",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link1_AxisRx_Abs_Roll.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link1_AxisRx_Abs_Roll.STL,,CLOVIS25_URDF_R2_V1-1/CLOVIS25_Abs_Rx_V2.1-1,R1_Origin_Waist_Roll,R1_AxisRx_Waist_Roll,R1_AxisRx_Abs_Roll,revolute,0,0,"0,0830000000000002",0,0,"1,5707963267949",LinkR0_AxisRz_Waist_Yaw,-1,0,0,"3,66","5,05","-0,524","0,524",,,,,,,,
Link2_AxisRy_Abs_Pitch,"0,011650181340946","0,000444755928511933","0,099005739309927",0,0,0,"1,76578959011334","0,00272833770431028","-2,20264076877396E-07","8,18791936776388E-05","0,00286417266365648","4,10696306321673E-07","0,00262213376829883",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link2_AxisRy_Abs_Pitch.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link2_AxisRy_Abs_Pitch.STL,,CLOVIS25_URDF_R3_V1-1,R2_Origin_Waist_Pitch,R2_AxisRy_Waist_Pitch,R2_AxisRy_Abs_Pitch,revolute,0,0,0,0,0,0,Link1_AxisRx_Abs_Roll,0,-1,0,"3,66","5,05","-0,689","0,785",,,,,,,,
Link30_AxisRy_Shoulder_Flexion,"-0,00121122065822793","-0,00325038076073686","0,0120544903508707",0,0,0,"0,037258013070383","1,59289941290387E-05","-1,20792452999147E-06","-4,79405065236246E-07","1,63933970089758E-05","-8,02786738789969E-07","2,03149647590168E-05",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link30_AxisRy_Shoulder_Flexion.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link30_AxisRy_Shoulder_Flexion.STL,,CLOVIS25_URDF_R30_V1-1,R30_Origin_Shoulder_Flexion,R30_AxisRy_Shoulder_Flexion,R30_AxisRy_Shoulder_Flexion,revolute,"0,028926","-0,10137","0,13085","-0,25268","1,3002","-1,5708",Link2_AxisRy_Abs_Pitch,0,0,1,0,0,0,0,,,,,,,,
Link31_AxisRz_Shoulder_Rotation,"0,0310376632963731","0,0149615998455133","-0,00284843103933194",0,0,0,"0,0306387760752887","1,91180450287481E-05","-2,81655737035407E-07","8,4332813770904E-07","2,6492735208956E-05","-1,49756484162903E-07","1,4496990488765E-05",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link31_AxisRz_Shoulder_Rotation.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link31_AxisRz_Shoulder_Rotation.STL,,CLOVIS25_URDF_R31_V1-1,R31_Origin_Shoulder_Rotation,R31_AxisRz_Shoulder_Rotation,R31_AxisRz_Shoulder_Rotation,revolute,0,0,"0,0185","1,5708","-1,3181","-1,5708",Link30_AxisRy_Shoulder_Flexion,0,0,-1,0,0,0,0,,,,,,,,
Link32_AxisRx_Shoulder_Abduction,"0,0104532597532817","0,0621634371379193","-0,0367102436813659",0,0,0,"0,102687647799612","0,000190390945153542","-3,56957896321668E-06","8,37982664301464E-06","8,95092182548508E-05","1,36359033983104E-05","0,000128468014301729",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link32_AxisRx_Shoulder_Abduction.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link32_AxisRx_Shoulder_Abduction.STL,,CLOVIS25_URDF_R32_V1-1,R32_Origin_Shoulder_Abduction,R32_AxisRx_Shoulder_Abduction,R32_AxisRx_Shoulder_Abduction,revolute,"0,04","0,035","-2,7028E-05","-1,5708","0,2706",0,Link31_AxisRz_Shoulder_Rotation,0,0,-1,0,0,0,0,,,,,,,,
Link33_AxisRy_Elbow_Flexion,"-0,00807277237851878","-0,0218914344602725","2,79175758927108E-07",0,0,0,"0,0625251367968197","2,66478349568186E-05","6,31835890192464E-07","-3,72107714966498E-11","2,90857170699392E-05","-2,29725793677034E-10","2,16871210433121E-05",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link33_AxisRy_Elbow_Flexion.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link33_AxisRy_Elbow_Flexion.STL,,CLOVIS25_URDF_R33_V1-1,R33_Origin_Elbow_Flexion,R33_AxisRy_Elbow_Flexion,R33_AxisRy_Elbow_Flexion,revolute,"0,01133","0,12951","-0,035","1,5708",0,"-1,6581",Link32_AxisRx_Shoulder_Abduction,0,0,-1,0,0,0,0,,,,,,,,
Link34_AxisRz_Wrist_Rotation,"0,000526763744031544","0,000899599310193925","-0,0255225516370396",0,0,0,"0,0957053105367644","5,31202839635959E-05","-5,32218440953273E-08","1,77417951497023E-07","5,30307409764474E-05","1,14726761692624E-06","3,79616505903183E-05",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link34_AxisRz_Wrist_Rotation.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link34_AxisRz_Wrist_Rotation.STL,,CLOVIS25_URDF_R34_V1-1,R34_Origin_Wrist_Rotation,R34_AxisRz_Wrist_Rotation,R34_AxisRz_Wrist_Rotation,revolute,"-0,04","-0,019",0,0,"1,5708",0,Link33_AxisRy_Elbow_Flexion,0,0,-1,0,0,0,0,,,,,,,,
Link35_AxisRx_Wrist_Abduction,"0,00813435863366137","-4,05206364914937E-07","5,46147046198708E-08",0,0,0,"0,0129110778126473","5,34580369587505E-06","-1,03772626647592E-10","6,34307336230873E-11","1,41876387165846E-06","-1,77315332016734E-11","5,32098561653809E-06",0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link35_AxisRx_Wrist_Abduction.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1 With Arms/meshes/Link35_AxisRx_Wrist_Abduction.STL,,CLOVIS25_URDF_R35_V1-2,R35_Origin_Wrist_Abduction,R35_AxisRx_Wrist_Abduction,R35_AxisRx_Wrist_Abduction,revolute,0,0,"-0,093138","3,1416","-1,5708",0,Link34_AxisRz_Wrist_Rotation,0,0,-1,0,0,0,0,,,,,,,,
