Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_R0_HipsWaist_Yaw,-5.06849795024474E-07,0.00646210878121356,-0.00735619477677179,0,0,0,0.387437520077023,0.000602004181073715,-3.93523719188462E-09,8.4131146427588E-09,0.00055466319918311,0.000144231027663687,0.00059139342226567,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/base_link_R0_HipsWaist_Yaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/base_link_R0_HipsWaist_Yaw.STL,,CLOVIS25_URDF_R0_V1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LinkR0_AxisRz_Waist_Yaw,1.46812364558688E-08,0.00792255367963899,0.0328105533698633,0,0,0,0.0743770113903966,0.000109844902331301,6.43572844078283E-11,1.80691197731371E-11,5.27744826789087E-05,8.66811215600059E-06,6.86185978836166E-05,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/LinkR0_AxisRz_Waist_Yaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/LinkR0_AxisRz_Waist_Yaw.STL,,CLOVIS25_URDF_R1_V1-1,R0_Origin_HipsToWaist_Yaw,R0_AxisRz_HipsToWaist_Yaw,R0_AxisRz_Waist_Yaw,revolute,0,0,0,0,0,0,base_link_R0_HipsWaist_Yaw,0,0,1,3.66,5.05,-0.611,0.611,,,,,,,,
Link1_AxisRx_Abs_Roll,-0.000419037666758958,-8.6704448896009E-06,0.00334728947605598,0,0,0,0.0285702910432507,7.08725803682832E-06,-2.4583009930987E-09,-4.77409616773001E-08,2.32521875946385E-05,-1.59332092975714E-09,2.62164733137172E-05,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link1_AxisRx_Abs_Roll.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link1_AxisRx_Abs_Roll.STL,,CLOVIS25_URDF_R2_V1-1/CLOVIS25_Abs_Rx_V2.1-1,R1_Origin_Waist_Roll,R1_AxisRx_Waist_Roll,R1_AxisRx_Abs_Roll,revolute,0,0,0.0830000000000002,0,0,1.5707963267949,LinkR0_AxisRz_Waist_Yaw,-1,0,0,3.66,5.05,-0.524,0.524,,,,,,,,
Link2_AxisRy_Abs_Pitch,0.0116502060780708,0.000444779964340122,0.0990057210700123,0,0,0,1.76579053635958,0.00272833882633648,-2.20597482402931E-07,8.18805229038268E-05,0.00286417553448298,4.10931314151063E-07,0.00262213593870311,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link2_AxisRy_Abs_Pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link2_AxisRy_Abs_Pitch.STL,,CLOVIS25_URDF_R3_V1-1,R2_Origin_Waist_Pitch,R2_AxisRy_Waist_Pitch,R2_AxisRy_Abs_Pitch,revolute,0,0,0,0,0,0,Link1_AxisRx_Abs_Roll,0,-1,0,3.66,5.05,-0.689,0.785,,,,,,,,
Link30_AxisRy_Shoulder_Flexion,-0.00121122068029511,-0.00325038069237409,0.01205449037587,0,0,0,0.0372580129564287,1.59289940590296E-05,-1.20792454995667E-06,-4.7940507230333E-07,1.6393396994726E-05,-8.0278671679873E-07,2.03149646905184E-05,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link30_AxisRy_Shoulder_Flexion.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link30_AxisRy_Shoulder_Flexion.STL,,CLOVIS25_URDF_R30_V1-1,R30_Origin_Shoulder_Flexion,R30_AxisRy_Shoulder_Flexion,R30_AxisRy_Shoulder_Flexion,revolute,0.0289259399205682,-0.101367916470833,0.130853241275273,-0.252680255142087,1.30019891167267,-1.5707963267949,Link2_AxisRy_Abs_Pitch,0,0,1,0,0,0,0,,,,,,,,
Link31_AxisRz_Shoulder_Rotation,0.0310376632963733,0.0149615998455135,-0.00284843103933208,0,0,0,0.0306387760752888,1.91180450287481E-05,-2.81655737035407E-07,8.43328137709067E-07,2.64927352089561E-05,-1.49756484162896E-07,1.4496990488765E-05,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link31_AxisRz_Shoulder_Rotation.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link31_AxisRz_Shoulder_Rotation.STL,,CLOVIS25_URDF_R31_V1-1,R31_Origin_Shoulder_Rotation,R31_AxisRz_Shoulder_Rotation,R31_AxisRz_Shoulder_Rotation,revolute,0,0,0.0185,1.5708,-1.3181,-1.5708,Link30_AxisRy_Shoulder_Flexion,0,0,-1,0,0,0,0,,,,,,,,
Link32_AxisRx_Shoulder_Abduction,0.0104532597532089,0.062163437123838,-0.0367102436834052,0,0,0,0.102687647828558,0.000190390945399026,-3.56957903134248E-06,8.37982643800101E-06,8.95092176175717E-05,1.36359033600638E-05,0.000128468014081588,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link32_AxisRx_Shoulder_Abduction.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link32_AxisRx_Shoulder_Abduction.STL,,CLOVIS25_URDF_R32_V1-1,R32_Origin_Shoulder_Abduction,R32_AxisRx_Shoulder_Abduction,R32_AxisRx_Shoulder_Abduction,revolute,0.04,0.035,-2.7028E-05,-1.5708,0.2706,0,Link31_AxisRz_Shoulder_Rotation,0,0,-1,0,0,0,0,,,,,,,,
Link33_AxisRy_Elbow_Flexion,-0.00807277244123876,-0.0218914344069931,2.79389832824606E-07,0,0,0,0.062525137315617,2.66478352150102E-05,6.31835903644819E-07,-3.71122215374951E-11,2.90857173843087E-05,-2.29744106491836E-10,2.16871210520696E-05,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link33_AxisRy_Elbow_Flexion.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link33_AxisRy_Elbow_Flexion.STL,,CLOVIS25_URDF_R33_V1-1,R33_Origin_Elbow_Flexion,R33_AxisRy_Elbow_Flexion,R33_AxisRy_Elbow_Flexion,revolute,0.0113302428061854,0.129505311080098,-0.035,1.5707963267949,0,-1.65806278939461,Link32_AxisRx_Shoulder_Abduction,0,0,-1,0,0,0,0,,,,,,,,
Link34_AxisRz_Wrist_Rotation,0.000526763744020858,0.000899599310191115,-0.0255225516370474,0,0,0,0.095705310536798,5.31202839633432E-05,-5.32218440986211E-08,1.77417951512435E-07,5.30307409761996E-05,1.14726761693416E-06,3.79616505903231E-05,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link34_AxisRz_Wrist_Rotation.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link34_AxisRz_Wrist_Rotation.STL,,CLOVIS25_URDF_R34_V1-1,R34_Origin_Wrist_Rotation,R34_AxisRz_Wrist_Rotation,R34_AxisRz_Wrist_Rotation,revolute,-0.0399999999999999,-0.019,0,0,1.5707963267949,0,Link33_AxisRy_Elbow_Flexion,0,0,-1,0,0,0,0,,,,,,,,
Link35_AxisRx_Wrist_Abduction,0.00813435863366127,-4.05206365898525E-07,5.46147126134766E-08,0,0,0,0.0129110778126474,5.34580369587511E-06,-1.03772626655587E-10,6.3430733622055E-11,1.41876387165846E-06,-1.77315332019497E-11,5.32098561653815E-06,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link35_AxisRx_Wrist_Abduction.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CLOVIS25_URDF_Assembly_V1_With_Arms/meshes/Link35_AxisRx_Wrist_Abduction.STL,,CLOVIS25_URDF_R35_V1-2,R35_Origin_Wrist_Abduction,R35_AxisRx_Wrist_Abduction,R35_AxisRx_Wrist_Abduction,revolute,0,0,-0.093138,3.1416,-1.5708,0,Link34_AxisRz_Wrist_Rotation,0,0,-1,0,0,0,0,,,,,,,,
